NAME	ADRESSE	PLZ	STADTTEIL	RECHTSWERT	HOCHWERT	HOMEPAGE
Marderweg	Marderweg 45	48157	Kinderhaus	406419	5761568	http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-fz-marderweg/familienzentrum-kindertageseinrichtung-coerde.html
Nerzweg	Nerzweg 11	48157	Kinderhaus	406499	5761676	http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-fz-nerzweg/kindertageseinrichtung-nerzweg.html
Korbmacherweg	Korbmacherweg 19	48157	Kinderhaus	398776	5756765	http://www.awo-msl-re.de/awo-vor-ort/vo-ms/vo-kita-ms/vo-kita-korbmacherweg/kindertageseinrichtung-aloysia-delsen.html
Lublinring	Lublinring 4	48147	Kreuzviertel	406176	5758871	http://www.awo-msl-re.de/index.php?menuid=1696&getlang=de
Miriam-Kindertagesstätte	Bonnenkamp 71	48161	Roxel	409998	5751992	http://www.caritas-ms.de/62502.html
Kindertagesstätte Kleines Senfkorn	Vogel-von-Falkenstein-Straße 6	48165	Hiltrup	405318	5756652	http://www.caritas-ms.de/62505.html
Janusz-Korczak-Haus	Zwi-Schulmann-Weg 25	48161	Nienberge	409297	5754511	nicht hinterlegt
Anne-Jakobi-Haus	Im Seihof 16	48147	Kreuzviertel	399375	5757166	nicht hinterlegt
Johannes-Busch-Haus	Merschkamp 25	48147	Gievenbeck	408279	5757245	nicht hinterlegt
Klaras Kinderhaus	Andreas-Hofer-Straße 70	48147	Kreuzviertel	407519	5757378	nicht hinterlegt
Alte Mauritzschule	Warendorfer Straße 70	48145	Mauritz	407131	5757843	nicht hinterlegt
Kindertagesstätte 71	Kappenberger Damm 229	48151	Pluggendorf	404042	5753588	http://www.derkotten.de
Dickmadame und Zappelmann	Frauenstraße 8	48147	Kreuzviertel	405253	5757886	http://www.dickmadame-zappelmann.de
Die Arche	Diesterwegstraße 78	48151	Pluggendorf	404089	5762097	http://www.die-arche-kindergarten.de/
Glühwürmchen	Grevener Straße 403	48159	Wienburg	404858	5762122	http://www.die-gluehwuermchen.de
Lichtblick	Ahausweg 37	48155	Mauritz	401546	5758268	http://www.ev-jugendhilfe.de
Pezzettino	Wiedeiken 30	48165	Hiltrup	404399	5748409	http://www.ev-jugendhilfe.de/
Unter den Eichen	Stratmannweg 15	48145	Mauritz	402073	5753889	http://www.ev-jugendhilfe.de/
LaLuLand	An der Gräfte 4	48163	Amelsbüren	407195	5751567	http://www.ev-kirche-hiltrup.de/index.php?id=kindergarten_hiltrup
Hiltrup	An der Christuskirche 4	48165	Hiltrup	407219	5751630	http://www.ev-kirche-hiltrup.de/index.php?id=kindergarten_hiltrup
Jakobus-Kindergarten	Von-Ossietzky-Straße 16	48151	Pluggendorf	403947	5755622	http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-mitte/jakobus-kiga/
Evangelischer Kindergarten Epiphaniaskirche	Pötterhoek 6	48145	Mauritz	407348	5758675	http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-mitte/kita-epiphanias/
Friesenring	Friesenring 30	48147	Uppenberg	404964	5759065	http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-mitte/kita-friesenring/
Markus-Kindergarten	Rektoratsweg 76	48159	Kinderhaus	404472	5761035	http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-nord/markus-kiga/
Friedens-Kindergarten	Zum Erlenbusch 15	48167	Wolbeck	408808	5753504	http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-sued-ost/friedens-kiga/
Claudius-Kindergarten	Wierling 31	48161	Roxel	398481	5753484	http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-west/claudius-kiga/
Ev. Lukas-Kindertageseinrichtung	Rüschhausweg 19	48161	Gievenbeck	402266	5758353	http://www.ev-kirchenkreis-muenster.de/arbeitsfelder/bildung-und-erziehung/kitas/einrichtungen/stadt-muenster/muenster-west/lukas-kita/
St. Sebastian	Alte Furt 17	48165	Hiltrup	404048	5749254	http://www.familienzentrum-amelsbueren.de/
Heilig Geist	Metzer Straße 39	48151	Geist	405213	5755250	http://www.familienzentrum-heilig-geist.de
Maria Aparecida	Meckmannweg 72	48163	Mecklenbeck	401795	5754133	http://www.familienzentrum-maria-aparecida.de
St. Clemens	Zur Alten Feuerwache 5	48165	Hiltrup	406435	5751356	http://www.familienzentrum-stclemens.de/
Franz von Assisi	Kinderhauser Straße 82	48147	Uppenberg	404840	5759242	http://www.heilig-kreuz-muenster.de/kinder-jugend/kindertageseinrichtungen/
Heinrich-Piepmeyer-Haus	Hüfferstraße 41	48149	Kreuzviertel	404210	5757567	http://www.heinrich-piepmeyer-haus.de
Sterntaler	Mauritz-Lindenweg 61	48145	Mauritz	407712	5757676	http://www.hvghirten.de/php/kita.php
St. Marien	Im Draum 42	48157	Mauritz	404881	5766211	http://www.kiga-st-marien-sprakel.de
Kinderbrücke	Telgenweg 10	48163	Mecklenbeck	411669	5761855	http://www.kinderbruecke-handorf.de/
Grünhaus	Grevener Straße 403	48159	Kinderhaus	404830	5762122	http://www.kindergruppe-gruenhaus.de/
Lauheide	Münsterstraße 76	48167	Handorf	412381	5753963	http://www.kindergruppe-lauheide.de
Purzelbaum	Wermelingstraße 21 -23	48151	Geist	405824	5758643	http://www.kindergruppe-purzelbaum.de/
Kinderhäuschen	Salzmannstraße 53	48147	Zentrum Nord	404972	5759949	http://www.kinderhaeuschen-muenster.de
Kinderwerkstatt	Wemhoffstraße 5	48155	Gremmendorf	406246	5758006	http://www.kinderwerkstatt-muenster.de/
Bergmannshof	Ashölterweg 128/130a	48163	Mecklenbeck	406080	5763835	http://www.kita-bergmannshof.de
Dicker Waldemar	Hansaplatz 5	48163	Mecklenbeck	406838	5756942	http://www.kita-dicker-waldemar.de
Die Minis	Coermühle 9	48157	Gelmer	405195	5762859	http://www.kita-die-minis.de
Die Knirpse	Im Münsteresch 2	48157	Gelmer	404507	5759417	http://www.kita-dieknirpse.de
Krümel II	Vivaldistraße 18	48147	Coerde	406780	5759758	http://www.kita-kruemel2.de
Bullerbü	Sankt-Josefs-Kirchplatz 4	48149	Kreuzviertel	405425	5756667	http://www.kita-kruemelmonster.de
Kaninchenbau	Sentmaringer Weg 118	48151	Geist	405258	5755829	http://www.kita-kruemelmonster.de/
St. Marien	Loddenweg 10a	48155	Gremmendorf	408303	5751570	http://www.kita-sankt-marien-hiltrup.de/page.php
St. Martin	Rehhagen 5	48161	Roxel	405638	5750679	http://www.kita-sankt-martin.de/page.php
Sonnenblume	Dreizehnerstraße 42	48163	Mecklenbeck	404410	5760169	http://www.kita-sonnenblume-muenster.de/
